ID,CHI2NU,XC_R,e_XC_R,YC_R,e_YC_R,RE_R,e_RE_R,MAG_R,e_MAG_R,n_R,e_n_R,AR_R,e_AR_R,PA_R,e_PA_R,XC_J0378,e_XC_J0378,YC_J0378,e_YC_J0378,RE_J0378,e_RE_J0378,MAG_J0378,e_MAG_J0378,n_J0378,e_n_J0378,AR_J0378,e_AR_J0378,PA_J0378,e_PA_J0378,XC_J0395,e_XC_J0395,YC_J0395,e_YC_J0395,RE_J0395,e_RE_J0395,MAG_J0395,e_MAG_J0395,n_J0395,e_n_J0395,AR_J0395,e_AR_J0395,PA_J0395,e_PA_J0395,XC_J0410,e_XC_J0410,YC_J0410,e_YC_J0410,RE_J0410,e_RE_J0410,MAG_J0410,e_MAG_J0410,n_J0410,e_n_J0410,AR_J0410,e_AR_J0410,PA_J0410,e_PA_J0410,XC_J0430,e_XC_J0430,YC_J0430,e_YC_J0430,RE_J0430,e_RE_J0430,MAG_J0430,e_MAG_J0430,n_J0430,e_n_J0430,AR_J0430,e_AR_J0430,PA_J0430,e_PA_J0430,XC_J0515,e_XC_J0515,YC_J0515,e_YC_J0515,RE_J0515,e_RE_J0515,MAG_J0515,e_MAG_J0515,n_J0515,e_n_J0515,AR_J0515,e_AR_J0515,PA_J0515,e_PA_J0515,XC_J0660,e_XC_J0660,YC_J0660,e_YC_J0660,RE_J0660,e_RE_J0660,MAG_J0660,e_MAG_J0660,n_J0660,e_n_J0660,AR_J0660,e_AR_J0660,PA_J0660,e_PA_J0660,XC_J0861,e_XC_J0861,YC_J0861,e_YC_J0861,RE_J0861,e_RE_J0861,MAG_J0861,e_MAG_J0861,n_J0861,e_n_J0861,AR_J0861,e_AR_J0861,PA_J0861,e_PA_J0861,XC_G,e_XC_G,YC_G,e_YC_G,RE_G,e_RE_G,MAG_G,e_MAG_G,n_G,e_n_G,AR_G,e_AR_G,PA_G,e_PA_G,XC_I,e_XC_I,YC_I,e_YC_I,RE_I,e_RE_I,MAG_I,e_MAG_I,n_I,e_n_I,AR_I,e_AR_I,PA_I,e_PA_I,XC_Z,e_XC_Z,YC_Z,e_YC_Z,RE_Z,e_RE_Z,MAG_Z,e_MAG_Z,n_Z,e_n_Z,AR_Z,e_AR_Z,PA_Z,e_PA_Z,XC_U,e_XC_U,YC_U,e_YC_U,RE_U,e_RE_U,MAG_U,e_MAG_U,n_U,e_n_U,AR_U,e_AR_U,PA_U,e_PA_U
iDR4_3_SPLUS-s24s35_0032474,1.14953774967803,222.6701,0.0151,309.6117,0.0153,17.4047,0.0279,2.5314,0.0939,3.4317,0.1971,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.8019,0.0765,1.3283,0.1031,0.3946,0.2197,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,19.1760,0.1521,1.4105,0.0968,0.6021,0.2138,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,19.2009,0.1803,1.4849,0.0914,0.7901,0.2088,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.4971,0.0896,1.5807,0.0852,1.0318,0.2032,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.0152,0.0536,1.9874,0.0719,2.0584,0.1888,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,17.3378,0.0291,2.7036,0.1073,3.8663,0.2060,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,16.6951,0.0349,3.6692,0.2008,6.3040,0.2922,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,18.2527,0.0367,1.8027,0.0749,1.5921,0.1932,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,16.8515,0.0303,3.2239,0.1554,5.1797,0.2465,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,16.5722,0.0335,3.7756,0.2119,6.5726,0.3041,0.8651,0.0193,3.7102,5.0122,222.6701,0.0151,309.6117,0.0153,19.0616,0.0564,1.2151,0.1125,0.1090,0.2286,0.8651,0.0193,3.7102,5.0122
iDR4_3_SPLUS-s24s35_0033243,1.14953774967803,279.2923,0.0065,233.1194,0.0098,16.5557,0.0104,4.7971,0.0338,1.3122,0.0234,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,18.3840,0.0849,5.1549,0.0967,0.7333,0.0593,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,18.7342,0.1635,5.1305,0.0919,0.7729,0.0565,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,18.0831,0.1010,5.1083,0.0875,0.8087,0.0540,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,17.7490,0.0697,5.0798,0.0820,0.8548,0.0508,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,17.0663,0.0307,4.9589,0.0592,1.0505,0.0377,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,16.4391,0.0098,4.7459,0.0293,1.3950,0.0207,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,15.9437,0.0128,4.4587,0.0584,1.8597,0.0347,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,17.2619,0.0224,5.0138,0.0693,0.9616,0.0435,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,16.0993,0.0083,4.5911,0.0368,1.6454,0.0233,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,15.8936,0.0122,4.4271,0.0642,1.9109,0.0379,0.4942,0.0034,-32.5799,0.3337,279.2923,0.0065,233.1194,0.0098,18.6860,0.0686,5.1886,0.1033,0.6789,0.0631,0.4942,0.0034,-32.5799,0.3337
iDR4_3_SPLUS-s24s35_0033045,1.14953774967803,232.4933,0.0228,121.8810,0.0167,16.4313,0.0172,9.3224,0.1186,1.3816,0.0215,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,18.0642,0.1097,10.0583,0.3277,1.0436,0.0638,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,17.9059,0.1327,10.0080,0.3117,1.0667,0.0605,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,17.9143,0.1458,9.9624,0.2974,1.0876,0.0576,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,17.5120,0.0966,9.9039,0.2790,1.1145,0.0539,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,16.8199,0.0432,9.6552,0.2035,1.2288,0.0386,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,16.3225,0.0158,9.2171,0.1025,1.4300,0.0186,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,16.0203,0.0229,8.6265,0.1900,1.7013,0.0390,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,17.0460,0.0340,9.7681,0.2372,1.1769,0.0454,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,16.1070,0.0142,8.8989,0.1212,1.5762,0.0243,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,15.9111,0.0215,8.5614,0.2089,1.7312,0.0429,0.5629,0.0033,-53.9481,0.5446,232.4933,0.0228,121.8810,0.0167,18.4936,0.1027,10.1275,0.3497,1.0118,0.0682,0.5629,0.0033,-53.9481,0.5446
iDR4_3_SPLUS-s24s35_0032346,1.14953774967803,261.8779,0.0350,331.2607,0.0460,18.2885,0.0407,3.7070,0.0948,0.9879,0.0666,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,19.6606,0.2501,3.8977,0.2469,0.7936,0.2018,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,19.6847,0.3566,3.8846,0.2348,0.8069,0.1914,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,19.4260,0.3158,3.8728,0.2239,0.8189,0.1820,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,19.1265,0.2222,3.8577,0.2100,0.8344,0.1700,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,18.5878,0.1085,3.7932,0.1536,0.9001,0.1206,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,18.2874,0.0406,3.6797,0.0861,1.0157,0.0583,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,17.9285,0.0615,3.5266,0.1605,1.1717,0.1301,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,18.7764,0.0781,3.8225,0.1786,0.8702,0.1426,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,18.0930,0.0382,3.5972,0.1075,1.0998,0.0814,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,18.0390,0.0592,3.5097,0.1750,1.1889,0.1429,0.6595,0.0177,32.5285,2.7195,261.8779,0.0350,331.2607,0.0460,19.6901,0.1639,3.9156,0.2637,0.7753,0.2162,0.6595,0.0177,32.5285,2.7195
iDR4_3_SPLUS-s26s34_0023416,1.15299866578522,382.8983,0.0104,206.5729,0.0107,17.5610,0.0166,3.0858,0.0479,2.7901,0.0993,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,18.7157,0.0514,1.9521,0.0641,1.2847,0.1821,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,18.1678,0.0450,2.0295,0.0593,1.3876,0.1722,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,18.2814,0.0476,2.0997,0.0552,1.4808,0.1635,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,18.2043,0.0425,2.1899,0.0502,1.6006,0.1526,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,17.6739,0.0243,2.5731,0.0362,2.1094,0.1137,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,17.5582,0.0183,3.2480,0.0568,3.0055,0.1070,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,17.1944,0.0275,4.1579,0.1183,4.2138,0.2078,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,17.9376,0.0195,2.3991,0.0407,1.8783,0.1295,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,17.3230,0.0209,3.7383,0.0887,3.6566,0.1541,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,17.1966,0.0263,4.2582,0.1255,4.3469,0.2215,0.3787,0.0078,43.4483,0.5622,382.8983,0.0104,206.5729,0.0107,18.8003,0.0408,1.8455,0.0709,1.1431,0.1961,0.3787,0.0078,43.4483,0.5622
iDR4_3_SPLUS-s26s34_0023755,1.15299866578522,212.8930,0.0463,308.5837,0.0226,19.1391,0.0386,2.3330,0.0701,0.9767,0.1925,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,20.2847,0.2061,2.3584,0.1696,0.8582,0.4184,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.5164,0.1424,2.3567,0.1609,0.8663,0.3969,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.5411,0.1406,2.3551,0.1530,0.8736,0.3777,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.4429,0.1203,2.3531,0.1430,0.8830,0.3536,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.0891,0.0703,2.3445,0.1037,0.9231,0.2608,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.2053,0.0414,2.3293,0.0691,0.9937,0.1951,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.0148,0.0728,2.3089,0.1381,1.0889,0.3743,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.2938,0.0535,2.3484,0.1208,0.9049,0.3005,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.1872,0.0470,2.3183,0.0964,1.0450,0.2697,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.1095,0.0712,2.3067,0.1491,1.0994,0.4016,*0.0594*,*0.0216*,-74.2670,1.2050,212.8930,0.0463,308.5837,0.0226,19.9417,0.1150,2.3608,0.1819,0.8470,0.4484,*0.0594*,*0.0216*,-74.2670,1.2050
iDR4_3_SPLUS-s26s34_0023480,1.15299866578522,334.3933,0.0098,227.1803,0.0072,17.1826,0.0109,3.2535,0.0325,2.1018,0.0572,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,18.3794,0.0468,3.1251,0.0682,1.3047,0.1269,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,18.0250,0.0470,3.1339,0.0646,1.3592,0.1204,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,18.0723,0.0474,3.1418,0.0615,1.4085,0.1146,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,17.8865,0.0388,3.1520,0.0575,1.4720,0.1072,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,17.4802,0.0230,3.1954,0.0424,1.7414,0.0788,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,17.1704,0.0115,3.2719,0.0335,2.2159,0.0577,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,16.8320,0.0194,3.3749,0.0647,2.8556,0.1114,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,17.6758,0.0186,3.1757,0.0488,1.6190,0.0910,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,16.9578,0.0133,3.3274,0.0470,2.5606,0.0798,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,16.7859,0.0188,3.3863,0.0693,2.9261,0.1197,0.4703,0.0060,67.6155,0.4714,334.3933,0.0098,227.1803,0.0072,18.7089,0.0443,3.1130,0.0731,1.2298,0.1360,0.4703,0.0060,67.6155,0.4714
iDR4_3_SPLUS-s26s34_0023663,1.15299866578522,69.1564,0.0764,255.3321,0.0748,18.4198,0.0295,8.0781,0.1574,0.6295,0.0423,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,19.5972,0.1714,8.3376,0.3311,0.4366,0.0968,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.7324,0.1109,8.3199,0.3146,0.4498,0.0917,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.9044,0.1281,8.3038,0.2999,0.4617,0.0871,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.6293,0.0944,8.2832,0.2814,0.4771,0.0813,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.4902,0.0657,8.1955,0.2105,0.5423,0.0590,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.3682,0.0307,8.0410,0.1584,0.6571,0.0430,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.3095,0.0639,7.8327,0.2908,0.8118,0.0866,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.6714,0.0445,8.2353,0.2408,0.5127,0.0686,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.2626,0.0340,7.9288,0.2120,0.7404,0.0614,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,18.2164,0.0547,7.8098,0.3116,0.8289,0.0931,0.1685,0.0046,45.5956,0.3760,69.1564,0.0764,255.3321,0.0748,19.6067,0.1201,8.3620,0.3542,0.4185,0.1039,0.1685,0.0046,45.5956,0.3760
iDR4_3_SPLUS-s27s30_0015752,1.16135612655644,190.9120,0.0225,155.7757,0.0193,17.1158,0.0200,6.1767,0.1177,1.4322,0.0291,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,18.6540,0.1508,6.3443,0.2938,1.1349,0.0881,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,18.3653,0.1629,6.3329,0.2789,1.1552,0.0833,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,18.5451,0.1878,6.3225,0.2655,1.1736,0.0789,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,18.1678,0.1265,6.3091,0.2485,1.1973,0.0733,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,17.5199,0.0545,6.2525,0.1807,1.2978,0.0508,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,17.0273,0.0201,6.1527,0.1128,1.4748,0.0279,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,16.7378,0.0430,6.0181,0.2215,1.7134,0.0682,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,17.7073,0.0365,6.2782,0.2104,1.2521,0.0608,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,16.7938,0.0233,6.0802,0.1526,1.6033,0.0444,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,16.6842,0.0368,6.0033,0.2398,1.7397,0.0743,0.7933,0.0085,-19.8677,2.0966,190.9120,0.0225,155.7757,0.0193,18.8629,0.0878,6.3601,0.3145,1.1069,0.0948,0.7933,0.0085,-19.8677,2.0966
iDR4_3_SPLUS-s27s30_0016515,1.16135612655644,277.0409,0.0166,298.9565,0.0157,16.0410,0.0089,8.0594,0.0682,1.4344,0.0128,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,17.7279,0.0820,8.3239,0.1565,0.8709,0.0331,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,17.3490,0.0820,8.3058,0.1485,0.9094,0.0313,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,17.5580,0.0946,8.2895,0.1413,0.9443,0.0296,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,16.9375,0.0526,8.2684,0.1323,0.9892,0.0275,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,16.3754,0.0247,8.1790,0.0969,1.1796,0.0192,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,15.9900,0.0094,8.0215,0.0678,1.5151,0.0131,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,15.5986,0.0196,7.8092,0.1314,1.9674,0.0296,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,16.6063,0.0157,8.2196,0.1122,1.0931,0.0228,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,15.7235,0.0107,7.9071,0.0933,1.7588,0.0203,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,15.5865,0.0163,7.7858,0.1415,2.0172,0.0320,0.9248,0.0042,75.1550,2.6491,277.0409,0.0166,298.9565,0.0157,17.9052,0.0446,8.3488,0.1677,0.8179,0.0357,0.9248,0.0042,75.1550,2.6491
iDR4_3_SPLUS-s27s30_0016257,1.16135612655644,360.7052,0.0726,310.6187,0.0643,19.4643,0.1693,2.9934,0.8827,5.8619,2.2671,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.5772,0.3071,4.1667,1.7363,*11.0444*,*4.5605*,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,21.8604,2.7127,4.0865,1.6774,*10.6903*,*4.4021*,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,20.8873,1.2054,4.0139,1.6240,*10.3695*,*4.2588*,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,20.6522,0.8595,3.9205,1.5556,9.9571,4.0747,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.2512,0.2294,3.5239,1.2657,8.2053,3.2955,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.4544,0.1647,2.8255,0.7638,5.1203,1.9486,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.6661,0.1896,1.8838,0.2480,0.9606,0.6573,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.5466,0.1953,3.7041,1.3971,9.0010,3.6487,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.4817,0.1319,2.3181,0.4251,2.8790,1.0513,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.6560,0.1487,1.7800,0.2526,0.5023,0.7028,0.5139,0.0711,-78.6810,6.1320,360.7052,0.0726,310.6187,0.0643,19.9273,0.2413,4.2770,1.8174,*11.5318*,*4.7787*,0.5139,0.0711,-78.6810,6.1320
iDR4_3_SPLUS-s27s30_0016032,1.16135612655644,167.4911,0.0338,232.7043,0.0460,17.9508,0.0214,4.6824,0.0645,0.6684,0.0262,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,19.4772,0.2234,4.8806,0.1613,0.6011,0.0628,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,19.1665,0.2403,4.8671,0.1532,0.6057,0.0599,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,19.6598,0.3744,4.8548,0.1460,0.6098,0.0572,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,19.0822,0.2045,4.8390,0.1368,0.6152,0.0538,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,18.2868,0.0718,4.7720,0.1001,0.6379,0.0401,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,17.8623,0.0225,4.6541,0.0608,0.6780,0.0242,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,17.6902,0.0579,4.4950,0.1159,0.7320,0.0413,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,18.5160,0.0386,4.8025,0.1162,0.6276,0.0462,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,17.6889,0.0243,4.5684,0.0797,0.7071,0.0289,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,17.5707,0.0397,4.4775,0.1257,0.7380,0.0448,0.6748,0.0082,-13.7147,1.5210,167.4911,0.0338,232.7043,0.0460,19.7587,0.1265,4.8992,0.1724,0.5947,0.0670,0.6748,0.0082,-13.7147,1.5210
iDR4_3_SPLUS-s31s30_0016334,1.16950499657372,388.6930,0.0000,347.0386,0.0000,19.2614,0.0002,*0.2304*,*0.0004*,0.2337,0.0003,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,21.1084,0.0006,*0.4088*,*0.0008*,0.2741,0.0005,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,*99.8129*,*0.0005*,*0.3966*,*0.0008*,0.2714,0.0005,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,20.8203,0.0004,*0.3856*,*0.0007*,0.2689,0.0005,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,20.0145,0.0004,*0.3714*,*0.0007*,0.2656,0.0005,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,20.0772,0.0005,*0.3111*,*0.0005*,0.2520,0.0004,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,19.0141,0.0005,*0.2049*,*0.0004*,0.2279,0.0003,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,18.1070,0.0006,*0.0617*,*0.0007*,0.1955,0.0003,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,20.1442,0.0005,*0.3384*,*0.0006*,0.2582,0.0004,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,18.4398,0.0002,*0.1277*,*0.0005*,0.2105,0.0003,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,17.9698,0.0031,*0.0459*,*0.0008*,0.1919,0.0003,*0.0630*,*0.0008*,-29.3145,0.0000,388.6930,0.0000,347.0386,0.0000,21.3305,0.0007,*0.4256*,*0.0009*,0.2779,0.0005,*0.0630*,*0.0008*,-29.3145,0.0000
iDR4_3_SPLUS-s31s30_0015892,1.16950499657372,105.3598,0.0001,201.4131,0.0001,19.1289,1.3568,5.3467,0.7549,0.9974,0.2456,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,20.2004,0.9600,5.5462,1.6230,1.7698,0.5528,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,21.2558,0.5539,5.5325,1.5586,1.7171,0.5309,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,*99.3057*,*0.6105*,5.5202,1.5005,1.6693,0.5110,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,18.9432,2.3771,5.5043,1.4264,1.6078,0.4856,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,21.1600,3.3244,5.4369,1.1202,1.3467,0.3794,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,19.3220,2.6404,5.3181,0.6623,0.8869,0.2079,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,18.8922,0.3100,5.1580,0.6807,0.2669,0.1764,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,19.7475,1.3124,5.4675,1.2572,1.4653,0.4273,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,19.3288,0.0619,5.2319,0.5398,0.5528,0.1381,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,19.8158,4.6957,5.1404,0.7383,0.1986,0.1961,0.8676,0.0622,-74.3365,30.2893,105.3598,0.0001,201.4131,0.0001,20.4594,1.8164,5.5649,1.7121,1.8425,0.5831,0.8676,0.0622,-74.3365,30.2893
